"date","symbol","open","high","close","volume","adj"
2017-07-14,"AOS",57.59,57.75,57.439999,596300,57.439999
2017-07-03,"MMI",26.56,26.84,26.809999,34500,26.809999
2017-07-05,"MMI",26.69,26.98,26.75,71700,26.75
2017-07-06,"MMI",26.51,26.7,26.15,64000,26.15
2017-07-07,"MMI",26.35,26.71,26.299999,73000,26.299999
2017-07-10,"MMI",26.29,26.35,26,92900,26
2017-07-11,"MMI",25.99,26.2,26,160600,26
2017-07-12,"MMI",26.15,26.47,26.309999,103300,26.309999
2017-07-13,"MMI",26.3,26.62,26.6,55900,26.6
2017-07-14,"MMI",26.57,27.13,27.01,78200,27.01
2017-07-03,"UTX",122.61,123.15,122.080002,1156200,122.080002
2017-07-05,"UTX",122.37,123.01,122.790001,1738000,122.790001
2017-07-06,"UTX",122.56,123,121.889999,3058200,121.889999
2017-07-07,"UTX",122.28,122.9,122.610001,1762900,122.610001
2017-07-10,"UTX",122.73,123.74,123.059998,2053100,123.059998
2017-07-11,"UTX",123.16,123.68,123.540001,1953500,123.540001
2017-07-12,"UTX",124.02,124.79,123.709999,2376900,123.709999
2017-07-13,"UTX",123.67,123.73,123.07,2687900,123.07
2017-07-14,"UTX",123.44,123.64,123.410004,1743100,123.410004
2017-07-03,"AVNW",17.46,17.84,17.73,30300,17.73
2017-07-05,"AVNW",17.85,17.85,17.809999,15400,17.809999
2017-07-06,"AVNW",17.56,18.42,18.129999,14000,18.129999
2017-07-07,"AVNW",17.84,18.21,18.049999,7700,18.049999
2017-07-10,"AVNW",18.19,19.1,18.469999,19200,18.469999
2017-07-11,"AVNW",18.49,18.77,18.610001,35500,18.610001
2017-07-12,"AVNW",18.8,19.15,18.299999,50500,18.299999
2017-07-13,"AVNW",18.46,18.72,18.280001,18100,18.280001
2017-07-14,"AVNW",18.34,18.59,18.059999,21900,18.059999
2017-07-03,"AINC",50.98,50.98,50.98,0,50.98
2017-07-05,"AINC",52.39,52.39,50,8600,50
2017-07-06,"AINC",49.9,50.365,50.365002,200,50.365002
2017-07-07,"AINC",50,50,49.84,800,49.84
2017-07-10,"AINC",49,49.03,49.029999,700,49.029999
2017-07-11,"AINC",49.03,49.03,49.029999,400,49.029999
2017-07-12,"AINC",50.55,50.55,49.09,1000,49.09
2017-07-13,"AINC",48.55,48.55,48.5,600,48.5
2017-07-14,"AINC",50,50,50,300,50
2017-07-03,"CPAC",11.3,11.3,11.3,300,11.3
2017-07-05,"CPAC",11.28,11.3,11.11,2100,11.11
2017-07-06,"CPAC",11.15,11.57,11.4,7800,11.4
2017-07-07,"CPAC",11.4,11.4,11.4,0,11.4
2017-07-10,"CPAC",11.19,11.27,11.2,1900,11.2
2017-07-11,"CPAC",11.54,11.54,11.54,300,11.54
2017-07-12,"CPAC",11.54,11.54,11.31,300,11.31
2017-07-13,"CPAC",11.54,11.54,11.54,2700,11.54
2017-07-14,"CPAC",11.54,11.54,11.54,0,11.54
2017-07-03,"NSYS",3.64,3.64,3.64,200,3.64
2017-07-05,"NSYS",3.64,3.64,3.64,0,3.64
2017-07-06,"NSYS",3.51,3.55,3.51,1200,3.51
2017-07-07,"NSYS",3.51,3.64,3.64,25500,3.64
2017-07-10,"NSYS",3.63,3.65,3.6,10300,3.6
2017-07-11,"NSYS",3.56,3.61,3.59,700,3.59
2017-07-12,"NSYS",3.59,3.59,3.59,0,3.59
2017-07-13,"NSYS",3.59,3.59,3.59,0,3.59
2017-07-14,"NSYS",3.58,3.58,3.51,3700,3.51
2017-07-03,"FRO",5.73,5.88,5.85,446200,5.85
2017-07-05,"FRO",5.86,5.87,5.82,459300,5.82
2017-07-06,"FRO",5.78,5.86,5.77,481200,5.77
2017-07-07,"FRO",5.81,5.82,5.66,429600,5.66
2017-07-10,"FRO",5.7,5.82,5.77,261400,5.77
2017-07-11,"FRO",5.78,5.86,5.81,454500,5.81
2017-07-12,"FRO",5.89,5.92,5.79,540300,5.79
2017-07-13,"FRO",5.88,6,5.97,657200,5.97
2017-07-14,"FRO",6.02,6.2,6.19,875400,6.19
2017-07-03,"NMI",11.699,11.739,11.739173,5700,11.78
2017-07-05,"NMI",11.739,11.779,11.729208,10900,11.77
2017-07-06,"NMI",11.739,11.739,11.699311,10800,11.74
2017-07-07,"NMI",11.659,11.729,11.719243,6600,11.76
2017-07-10,"NMI",11.729,11.769,11.76907,8800,11.81
2017-07-11,"NMI",11.759,11.789,11.789,2900,11.83
2017-07-12,"NMI",11.78,11.87,11.87,6300,11.87
2017-07-13,"NMI",11.85,11.89,11.89,4700,11.89
2017-07-14,"NMI",11.88,11.88,11.81,23000,11.81
